Player Efficiency Rating
2013-14 NBA 24.1 (8th)
2014-15 NBA 28.0 (3rd)
2015-16 NBA 31.5 (1st)
Active 23.3 (6th)
Career NBA 23.3 (19th)
Career 23.3 (20th)
