Offensive Box Plus/Minus
2012-13 NBA 6.3 (3rd)
2013-14 NBA 7.4 (3rd)
2014-15 NBA 9.6 (1st)
2015-16 NBA 12.4 (1st)
2016-17 NBA 7.5 (6th)
Active 6.8 (3rd)
Career NBA 6.8 (4th)
Career 6.8 (4th)
