Player,Sim,1,2,3,4,5,6,7
Stephen Curry,,17.9,15.7,13.4,11.2,6.6,4.7,2.2
Dwyane Wade,88.2,14.7,14.4,13.0,11.0,8.8,4.6,3.3
John Stockton,87.5,15.6,14.4,14.1,14.0,6.7,5.9,3.1
Kobe Bryant,85.2,14.9,12.7,11.3,10.6,6.3,5.2,1.8
James Harden,83.1,16.4,13.3,12.8,12.8,9.3,7.1,4.5
Jerry West,80.9,17.1,16.7,14.0,12.9,11.7,8.1,6.6
Chris Paul,80.7,18.3,17.8,13.9,12.7,10.4,8.8,7.3
Clyde Drexler,79.8,13.2,12.6,11.6,10.3,7.5,6.7,2.4
Walt Frazier,77.1,15.6,15.0,14.5,13.0,12.7,10.9,3.5
David Thompson,76.5,12.7,12.4,10.7,9.5,6.4,3.0,2.0
Kevin Johnson,76.4,12.7,12.2,11.6,10.0,8.7,5.1,4.0
