Value Over Replacement Player
2012-13 NBA 5.6 (6th)
2013-14 NBA 6.7 (4th)
2014-15 NBA 7.9 (1st)
2015-16 NBA 9.8 (1st)
2016-17 NBA 3.6 (10th)
Career NBA 39.2 (54th)
Career 39.2 (55th)
