Free Throw Pct
2009-10 NBA .885 (9th)
2010-11 NBA .934 (1st)
2012-13 NBA .900 (2nd)
2013-14 NBA .885 (6th)
2014-15 NBA .914 (1st)
2015-16 NBA .907 (1st)
2016-17 NBA .920 (2nd)
Active .904 (1st)
Career NBA .904 (3rd)
Career .904 (3rd)
