Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,TOT,,3,3,83,20,48,.417,11,34,.324,2,2,1.000,6,17,22,6,0,9,3,53
,,,NBA,,3,3,83,20,48,.417,11,34,.324,2,2,1.000,6,17,22,6,0,9,3,53
,,,,,0,0,,,,,,,,,,,,,,,,,,
