Assists Per Game
2013-14 NBA 8.5 (5th)
2014-15 NBA 7.7 (6th)
2015-16 NBA 6.7 (10th)
Active 6.8 (7th)
Career NBA 6.8 (29th)
Career 6.8 (29th)
