3-Pt Field Goal Attempts
2012-13 NBA 600 (1st)
2013-14 NBA 615 (1st)
2014-15 NBA 646 (1st)
2015-16 NBA 886 (1st)
2016-17 NBA 483 (1st)
Active 4073 (10th)
Career NBA 4073 (24th)
Career 4073 (24th)
