Points Per Game
2012-13 NBA 22.9 (7th)
2013-14 NBA 24.0 (7th)
2014-15 NBA 23.8 (6th)
2015-16 NBA 30.1 (1st)
Active 22.7 (5th)
Career NBA 22.7 (24th)
Career 22.7 (26th)
