Effective Field Goal Pct
2013-14 NBA .566 (9th)
2014-15 NBA .594 (2nd)
2015-16 NBA .630 (2nd)
2016-17 NBA .590 (10th)
Active .576 (5th)
Career NBA .576 (8th)
Career .576 (8th)
