3-Pt Field Goals
2009-10 NBA 166 (6th)
2010-11 NBA 151 (10th)
2012-13 NBA 272 (1st)
2013-14 NBA 261 (1st)
2014-15 NBA 286 (1st)
2015-16 NBA 402 (1st)
2016-17 NBA 202 (1st)
Active 1795 (7th)
Career NBA 1795 (12th)
Career 1795 (12th)
