Offensive Win Shares
2012-13 NBA 8.4 (6th)
2013-14 NBA 9.3 (5th)
2014-15 NBA 11.5 (3rd)
2015-16 NBA 13.8 (1st)
2016-17 NBA 5.6 (7th)
Career NBA 58.8 (98th)
Career 58.8 (100th)
