Offensive Win Shares
1999-00 NBA 9.1 (4th)
2000-01 NBA 10.3 (3rd)
2006-07 NBA 7.4 (9th)
Active 79.1 (7th)
Career NBA 79.1 (37th)
Career 79.1 (42nd)
