Field Goal Attempts
1999-00 NBA 1696 (2nd)
2000-01 NBA 1656 (6th)
2003-04 NBA 1457 (6th)
2004-05 NBA 1541 (4th)
2005-06 NBA 1518 (7th)
2006-07 NBA 1598 (3rd)
2008-09 NBA 1345 (8th)
Active 20104 (3rd)
Career NBA 20104 (16th)
Career 20104 (21st)
