Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Vince Carter,,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,6.0,5.0,4.3,4.2,3.8,2.9,1.8,1.0
Terry Porter,92.6,13.0,11.7,10.6,9.8,9.2,8.8,6.8,5.6,5.4,5.4,5.2,5.0,3.7,3.5,2.7,2.3,1.7,
Eddie Jones,88.1,10.5,10.1,10.1,9.6,9.1,8.0,7.9,7.2,6.8,6.0,6.0,5.0,3.1,1.1,,,,
Allen Iverson,88.0,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,
Hal Greer,87.6,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,,,
Jeff Hornacek,87.0,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5.0,1.2,,,,
Tony Parker,86.1,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7.0,5.9,5.8,4.1,3.8,3.6,,,
Steve Nash,85.8,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7,0.1
Jason Terry,85.1,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,1.9,1.5,0.2,
Ray Allen,84.8,13.7,11.1,10.7,10.1,10.0,9.7,9.5,9.1,8.9,7.9,7.0,6.9,6.3,5.4,5.2,4.9,4.7,4.1
Sam Jones,84.5,12.8,10.0,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,,,,,,
