Points Per Game
1999-00 NBA 25.7 (4th)
2000-01 NBA 27.6 (5th)
2001-02 NBA 24.7 (7th)
2003-04 NBA 22.5 (7th)
2004-05 NBA 24.5 (8th)
2006-07 NBA 25.2 (8th)
Career NBA 18.4 (99th)
