Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,1319,954,42420,8804,20104,.438,2002,5371,.373,6802,14733,.462,.488,4724,5914,.799,1578,4479,6057,4460,1398,794,2446,3607,24334
7 seasons,,TOR,NBA,,403,401,15114,3541,7944,.446,554,1445,.383,2987,6499,.460,.481,1784,2277,.783,740,1351,2091,1553,534,415,928,1188,9420
5 seasons,,NJN,NBA,,374,369,14157,3126,6987,.447,638,1723,.370,2488,5264,.473,.493,1944,2404,.809,513,1639,2152,1762,435,187,923,1163,8834
3 seasons,,DAL,NBA,,223,43,5608,925,2208,.419,382,975,.392,543,1233,.440,.505,438,534,.820,157,666,823,545,191,104,298,569,2670
3 seasons,,MEM,NBA,,171,4,3180,389,1059,.367,193,583,.331,196,476,.412,.458,173,220,.786,81,342,423,218,118,50,101,305,1144
2 seasons,,ORL,NBA,,97,96,2974,559,1281,.436,146,402,.363,413,879,.470,.493,313,381,.822,44,339,383,300,73,21,142,259,1577
1 season,,PHO,NBA,,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689
