Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Zydrunas Ilgauskas,,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,
Billy Paultz,90.6,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.3,0.1,0.0
Tom Owens,89.7,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,,,
Dave Robisch,88.2,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1,,
Al Jefferson,86.9,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,,,
Clyde Lovellette,86.7,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,,,
Swen Nater,86.2,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,,,
Bill Cartwright,86.1,10.1,10.0,9.8,9.7,6.4,5.8,5.0,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0.0
Jim Eakins,85.6,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,,,
Clifford Ray,85.5,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,,,
Nate Thurmond,85.5,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,
