Offensive Rebound Pct
1997-98 NBA 14.6 (3rd)
2003-04 NBA 12.1 (7th)
2004-05 NBA 13.2 (6th)
2005-06 NBA 12.6 (5th)
2006-07 NBA 12.9 (8th)
2007-08 NBA 13.1 (8th)
Career NBA 12.4 (18th)
Career 12.4 (18th)
