Player,Sim,1,2,3,4,5
Michael Bradley,,1.5,0.2,0.1,0.1,0.0
Brian Evans,84.9,1.5,0.1,0.1,,
Perry Jones,81.6,1.5,0.2,0.0,,
Chris Singleton,76.2,1.5,0.5,0.2,,
Stephen Howard,75.1,1.3,0.2,0.1,0.0,
Joe Roberts,73.0,1.9,0.2,0.2,0.0,
Mario Bennett,69.5,1.5,0.5,0.0,-0.1,
Kornel David,68.3,1.7,0.4,0.3,,
Viktor Khryapa,66.8,1.3,0.4,0.3,0.0,
Ron Riley,66.8,1.6,0.7,0.2,0.0,
Jackie Butler,66.2,1.2,0.1,0.1,,
