Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Anderson Varejao,,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0
Trevor Ariza,90.4,8.0,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Bo Outlaw,89.7,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,0.2
Bryon Russell,87.1,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8
Drew Gooden,86.5,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.4,-0.1
Kelly Tripucka,86.0,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,,
Johnny Green,85.2,9.5,8.4,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Scott Wedman,84.4,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2
Metta World Peace,83.3,8.0,7.2,6.7,5.5,5.3,4.7,4.4,3.7,2.7,2.3,1.9,1.3
Ed Pinckney,82.5,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Vin Baker,82.2,10.4,8.3,6.2,5.8,4.4,3.5,2.8,2.2,1.8,1.6,0.4,-0.4
