Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,12,176,,,,14%,86%,-7.8,+0.2,3,5,7,11,0,5,0,17,14,5,8
2 seasons,,MIN,NBA,,7,111,,,,1%,99%,-5.5,+3.0,2,3,4,9,0,3,0,17,8,3,1
1 season,,PHI,NBA,,5,65,,,,35%,65%,-11.6,-4.6,1,2,3,2,0,2,0,0,6,2,7
