Free Throw Attempts
2006-07 NBA 590 (8th)
2007-08 NBA 559 (10th)
2008-09 NBA 617 (4th)
2009-10 NBA 590 (7th)
Active 5591 (9th)
Career NBA 5591 (58th)
Career 5591 (63rd)
