Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Reggie Jackson,,6.9,4.9,4.9,2.5,0.1,,,,,,,
Eric Bledsoe,86.8,7.0,4.1,3.7,2.5,0.3,0.2,,,,,,
Lewis Lloyd,86.5,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,,,
Jeff McInnis,84.0,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,
Bob Donham,82.7,6.1,4.5,3.8,3.5,,,,,,,,
Al Cervi,82.5,9.3,5.3,5.3,2.1,,,,,,,,
Mike James,78.9,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Bobby Simmons,77.9,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0,,
Ted McClain,77.4,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,,,
Jim Seminoff,76.7,5.4,4.5,3.6,3.4,,,,,,,,
George Lehmann,76.4,7.3,5.9,2.5,2.3,0.7,0.0,0.0,,,,,
