Player,Sim,1,2,3,4,5,6,7,8,9
Shannon Brown,,3.4,3.1,1.6,1.2,0.7,0.1,0.0,-0.3,-0.5
Quincy Pondexter,83.1,3.2,2.9,1.7,0.9,0.4,,,,
Ron Lee,82.4,3.8,2.8,1.6,1.4,0.8,0.3,,,
Larry Wright,79.6,3.5,2.7,1.8,1.4,1.2,0.0,,,
Ken Charles,78.7,3.3,3.0,2.3,0.6,0.6,,,,
Shammond Williams,78.5,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,
Rick Adelman,78.2,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,
Pep Saul,77.4,4.2,2.8,1.5,0.8,0.6,,,,
Gary Neal,77.3,3.5,2.5,1.9,1.4,1.0,0.6,,,
Pablo Prigioni,76.7,3.4,3.2,2.3,1.5,,,,,
Khalid Reeves,75.9,3.5,2.5,1.2,1.1,0.1,0.0,,,
