Player,Sim,1,2,3,4,5,6,7,8,9,10
Ricky Rubio,,5.9,5.8,3.0,2.0,0.5,,,,,
George Lehmann,85.3,7.3,5.9,2.5,2.3,0.7,0.0,0.0,,,
Bobby Simmons,80.7,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0
Kenny Sailors,79.5,5.2,4.9,3.7,1.7,1.6,,,,,
Paul Walther,78.9,6.6,5.2,3.1,2.2,2.0,1.3,,,,
Rudy Fernandez,78.3,6.1,3.8,3.0,1.2,,,,,,
Randy Wittman,77.4,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,
Bob Donham,77.2,6.1,4.5,3.8,3.5,,,,,,
Dean Meminger,76.6,5.0,4.4,3.9,2.2,1.0,0.2,,,,
Mitchell Wiggins,76.0,5.4,3.5,3.3,2.0,1.2,-0.1,,,,
Jim Seminoff,75.9,5.4,4.5,3.6,3.4,,,,,,
