Season,Team,Lg,Salary
2011-12,Minnesota Timberwolves,NBA,"$3,480,120"
2012-13,Minnesota Timberwolves,NBA,"$3,741,120"
2013-14,Minnesota Timberwolves,NBA,"$4,002,120"
2014-15,Minnesota Timberwolves,NBA,"$5,070,686"
2015-16,Minnesota Timberwolves,NBA,"$12,365,000"
