Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Francisco Garcia,,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,,,
Andrea Bargnani,87.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,,,
Mike Sanders,86.4,3.9,3.1,2.7,2.0,1.8,1.2,1.0,0.8,0.8,0.6,0.1,,
Darius Songaila,85.3,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,,,,,
Matt Bullard,84.4,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1,,
Glen Davis,84.0,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,,,
Barry Clemens,83.8,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1,,
Chucky Brown,83.0,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0.0
Derek Strong,82.6,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,,,
Andrew DeClercq,82.4,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1,,,
Ronny Turiaf,82.4,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0,,,
