Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jerryd Bayless,,4.0,2.7,2.4,2.4,2.4,2.0,1.6,0.3,,,
Steve Colter,86.6,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,
Fatty Taylor,86.5,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,,
Evan Turner,84.0,4.0,2.5,2.4,2.3,2.1,1.4,,,,,
J.J. Barea,83.7,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1,
Rod Thorn,83.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,
Jim Price,81.8,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
John Battle,81.8,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,
Herm Gilliam,81.5,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Dudley Bradley,81.4,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,
Tyronn Lue,81.2,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2
