Player,Sim,1,2,3,4,5,6,7,8
Jerryd Bayless,,4.0,2.7,2.4,2.4,2.4,2.0,1.6,0.3
Steve Colter,86.6,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3
Fatty Taylor,86.5,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4
Earl Watson,85.3,2.9,2.7,2.3,2.3,2.0,1.8,1.5,-0.2
John Battle,84.1,4.0,3.2,2.3,2.0,1.7,1.5,1.0,0.5
Evan Turner,84.0,4.0,2.5,2.4,2.3,2.1,1.4,,
Danny Young,84.0,4.8,3.0,2.9,2.4,1.9,1.8,1.8,-0.1
Rod Thorn,83.6,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1
Keith Bogans,82.4,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Greg Buckner,82.2,4.8,3.8,3.1,2.3,2.2,2.0,1.8,0.3
Rasual Butler,82.0,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1
