Player,Sim,1,2,3,4,5,6,7,8
Kyrie Irving,,10.4,6.7,5.3,5.0,4.1,,,
Isaiah Thomas,91.3,9.7,7.7,6.1,5.0,4.3,,,
Goran Dragic,86.9,10.3,6.8,5.7,5.1,4.7,2.8,1.0,0.1
Danny Green,81.2,7.8,5.9,4.5,4.2,4.2,0.2,0.1,
Doug Collins,79.2,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3
John Logan,78.4,9.2,8.3,5.2,4.3,1.0,,,
Ronnie Brewer,78.1,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0
John Wall,77.9,7.9,7.8,5.7,4.5,3.5,2.2,,
Frankie Brian,77.9,9.2,6.1,5.6,3.6,3.0,2.7,-0.2,
Warren Jabali,77.8,10.7,7.3,5.8,3.5,3.2,2.6,2.1,
Kemba Walker,77.3,9.9,5.1,4.8,4.5,0.3,,,
