Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Fabricio Oberto,,6.1,4.1,1.7,1.1,0.6,0.0,,,,,,
Markieff Morris,90.7,6.4,4.6,1.7,1.5,0.5,,,,,,,
Ed Ratleff,88.7,5.6,4.5,2.1,1.0,0.5,,,,,,,
Monk Meineke,85.5,6.1,3.7,2.6,1.8,0.7,,,,,,,
Travis Grant,85.2,5.6,4.1,1.5,0.5,,,,,,,,
Leon Powe,83.8,4.9,4.3,1.7,0.6,0.5,,,,,,,
Walt Budko,81.2,5.6,4.0,2.7,1.5,,,,,,,,
Ben Warley,80.3,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,,
Stan McKenzie,79.7,6.1,5.3,2.4,0.6,0.2,0.1,-0.1,,,,,
Don May,79.2,6.1,2.9,1.3,0.5,0.3,0.2,0.0,,,,,
Brian Cardinal,78.5,7.2,3.5,1.7,0.9,0.9,0.6,0.4,0.2,0.0,0.0,0.0,0.0
