Offensive Rebound Pct
2001-02 NBA 13.3 (4th)
2003-04 NBA 14.8 (2nd)
2004-05 NBA 15.6 (3rd)
2005-06 NBA 16.9 (2nd)
2006-07 NBA 16.5 (1st)
2007-08 NBA 14.9 (1st)
2008-09 NBA 12.8 (7th)
Career NBA 15.2 (4th)
Career 15.2 (4th)
