Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jeff Foster,,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4
Marvin Williams,91.8,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,
Amir Johnson,90.5,7.3,6.3,5.9,5.6,5.1,4.5,4.0,3.0,2.7,0.5,0.2,,
Luis Scola,90.3,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,,,,
Orlando Woolridge,89.9,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8
Junior Bridgeman,89.6,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,
Udonis Haslem,89.6,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4
Kenyon Martin,89.5,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,0.9,0.0
Josh Smith,89.4,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,
Thaddeus Young,89.0,7.4,6.3,6.2,5.5,4.5,4.1,3.5,3.1,2.1,,,,
Kurt Thomas,88.7,8.2,6.5,5.4,5.2,5.2,5.0,4.1,3.8,3.3,2.9,2.5,0.5,-0.2
