Total Rebound Pct
2001-02 NBA 17.6 (5th)
2003-04 NBA 18.4 (6th)
2004-05 NBA 20.6 (3rd)
2005-06 NBA 20.9 (2nd)
2006-07 NBA 20.2 (5th)
2007-08 NBA 19.3 (8th)
Career NBA 19.0 (10th)
Career 19.0 (12th)
