Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Dahntay Jones,,2.0,2.0,1.8,1.2,0.9,0.7,0.6,0.6,0.4,0.1,0.0,-0.4,,,
Alonzo Gee,78.5,2.4,1.9,1.9,1.2,1.0,0.9,0.4,,,,,,,,
Randy Brown,77.1,2.4,1.9,1.8,1.6,1.5,1.0,0.9,0.4,0.3,0.2,0.0,-0.8,,,
Ledell Eackles,74.5,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,,,,,,
Wes Matthews,74.0,3.0,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,,,,,,
David Wingate,73.6,2.4,2.3,1.9,1.7,1.4,1.0,0.6,0.4,0.3,0.2,0.1,0.1,0.0,-0.1,-0.5
John Crotty,71.3,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,,,,
Si Green,70.5,2.6,2.6,1.6,1.0,0.8,0.8,0.4,0.1,,,,,,,
Anthony Bowie,70.1,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,,,,,,,
Mike Bratz,69.3,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,,,,
Gary Grant,69.1,3.0,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0.0,0.0,-0.4,,
