Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,64,592,.445,9.8,.805,.433,.152,.043,.177,.195,.485,.577,.400,.286,.379,.281,.469,.104,15,1.000,.719,.261,1,0
1 season,,DEN,NBA,,16,280,.481,8.6,.848,.519,.101,.038,.190,.152,.522,.585,.250,.333,.533,.250,.600,.152,10,1.000,.917,.273,1,0
1 season,,CLE,NBA,,15,50,.462,12.2,.769,.308,.154,.077,.231,.231,.500,.750,1.000,.000,.000,.333,.400,.000,0,1.000,1.000,.333,0,0
1 season,,LAC,NBA,,11,18,1.000,1.5,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,.500,1,,,,0,0
2 seasons,,IND,NBA,,10,108,.342,12.5,.684,.263,.263,.026,.132,.316,.423,.500,.400,1.000,.200,.167,.182,.026,1,1.000,.750,.222,0,0
2 seasons,,MEM,NBA,,7,117,.464,8.9,.821,.464,.143,.071,.143,.179,.435,.462,.500,.000,.500,.600,.300,.107,3,1.000,.000,,0,0
1 season,,ATL,NBA,,5,19,.250,10.3,1.000,.250,.250,.000,.500,.000,.250,1.000,.000,,.000,,.000,.000,0,,,,0,0
