Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Caron Butler,,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,
Kenyon Martin,92.5,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0.0
Junior Bridgeman,89.6,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,,
Orlando Woolridge,89.4,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,,
Marvin Williams,89.2,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,,,
Wayman Tisdale,89.2,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2.0,1.8,1.7,-0.6,,,
Purvis Short,89.1,6.2,6.0,5.7,5.4,5.2,5.0,4.4,3.7,3.3,2.6,2.2,1.4,,,
Cliff Levingston,88.0,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,,,
Xavier McDaniel,87.9,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0.0,,,
Cazzie Russell,87.4,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3.0,2.2,2.0,1.8,1.1,,,
Thurl Bailey,87.3,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,,
