Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,881,732,32.2,5.2,12.0,.434,0.8,2.4,.348,4.4,9.6,.456,.469,2.8,3.3,.847,1.3,3.7,5.0,2.3,1.3,0.2,1.8,2.4,14.1
5 seasons,,WAS,NBA,,310,289,38.5,7.0,15.4,.453,0.7,2.2,.315,6.3,13.2,.476,.476,4.3,5.0,.872,1.7,4.9,6.6,3.5,1.8,0.3,2.7,2.8,19.0
2 seasons,,MIA,NBA,,146,134,33.5,4.6,11.4,.402,0.3,1.0,.295,4.3,10.4,.413,.416,3.0,3.8,.802,1.6,3.4,5.0,2.3,1.5,0.3,1.9,2.7,12.5
2 seasons,,LAC,NBA,,141,141,26.6,4.2,10.1,.415,1.6,4.2,.375,2.6,5.9,.444,.493,1.1,1.4,.822,0.6,2.6,3.2,1.1,0.7,0.1,1.1,1.9,11.1
1 season,,DET,NBA,,78,21,20.8,2.1,5.1,.407,1.1,2.8,.379,1.0,2.3,.441,.511,0.7,0.8,.902,0.3,2.2,2.5,1.0,0.6,0.1,0.6,1.5,5.9
1 season,,LAL,NBA,,77,77,35.7,5.7,12.9,.445,0.5,1.6,.304,5.2,11.2,.465,.464,3.6,4.1,.862,1.9,3.9,5.8,1.9,1.4,0.3,1.6,2.8,15.5
2 seasons,,DAL,NBA,,56,56,32.1,5.8,13.1,.445,0.8,2.1,.391,5.0,11.1,.455,.476,2.6,3.4,.766,1.0,3.7,4.7,1.7,1.4,0.3,1.7,2.3,15.1
1 season,,MIL,NBA,,34,13,24.1,4.0,10.4,.387,1.6,4.3,.361,2.5,6.1,.406,.462,1.4,1.6,.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11.0
1 season,,OKC,NBA,,22,0,27.2,3.5,8.5,.409,2.0,4.6,.441,1.4,3.8,.369,.530,0.7,0.9,.842,0.2,3.0,3.2,1.2,1.1,0.3,0.4,2.5,9.7
1 season,,SAC,NBA,,17,1,10.4,1.5,3.5,.424,0.2,1.1,.167,1.3,2.4,.537,.449,0.6,0.7,.833,0.3,1.0,1.3,0.6,0.5,0.1,0.2,1.1,3.7
