Awards
1994-95 Defensive Player of the Year
1996-97 Defensive Player of the Year
1997-98 Defensive Player of the Year
2000-01 Defensive Player of the Year
2000-01 J. Walter Kennedy Citizenship Award
2008-09 J. Walter Kennedy Citizenship Award
