Blocks Per Game
1991-92 NBA 3.0 (5th)
1992-93 NBA 3.5 (3rd)
1993-94 NBA 4.1 (1st)
1994-95 NBA 3.9 (1st)
1995-96 NBA 4.5 (1st)
1996-97 NBA 3.3 (2nd)
1997-98 NBA 3.4 (2nd)
1998-99 NBA 2.9 (4th)
1999-00 NBA 3.3 (2nd)
2000-01 NBA 2.7 (5th)
2001-02 NBA 2.4 (5th)
Career NBA 2.8 (7th)
Career 2.8 (7th)
