Defensive Box Plus/Minus
1992-93 NBA 3.7 (5th)
1993-94 NBA 5.2 (1st)
1994-95 NBA 4.4 (2nd)
1995-96 NBA 5.3 (1st)
1996-97 NBA 4.5 (1st)
1998-99 NBA 4.7 (2nd)
2000-01 NBA 3.2 (9th)
2001-02 NBA 2.9 (9th)
Career NBA 3.6 (13th)
Career 3.6 (13th)
