Defensive Win Shares
1992-93 NBA 5.5 (5th)
1993-94 NBA 6.4 (5th)
1994-95 NBA 5.2 (6th)
1996-97 NBA 6.6 (2nd)
1997-98 NBA 5.2 (7th)
1998-99 NBA 4.2 (3rd)
2001-02 NBA 5.5 (5th)
Career NBA 68.5 (15th)
Career 68.5 (17th)
