Total Rebound Pct
1991-92 NBA 17.3 (10th)
1992-93 NBA 18.7 (8th)
1993-94 NBA 18.9 (5th)
1994-95 NBA 19.9 (3rd)
1995-96 NBA 18.6 (7th)
1996-97 NBA 18.6 (8th)
1997-98 NBA 18.8 (4th)
1998-99 NBA 19.5 (3rd)
1999-00 NBA 21.2 (2nd)
2000-01 NBA 21.9 (1st)
Career NBA 19.1 (9th)
Career 19.1 (11th)
