Defensive Rebound Pct
1992-93 NBA 25.5 (10th)
1993-94 NBA 25.8 (3rd)
1994-95 NBA 26.7 (5th)
1995-96 NBA 26.6 (7th)
1996-97 NBA 25.9 (6th)
1997-98 NBA 25.6 (4th)
1998-99 NBA 26.5 (2nd)
1999-00 NBA 31.3 (1st)
2000-01 NBA 30.5 (1st)
2001-02 NBA 23.5 (7th)
Career NBA 26.2 (9th)
Career 26.2 (10th)
