Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Drew Gooden,,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1
Trevor Ariza,89.5,8.0,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9,,
Anderson Varejao,87.8,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,,
Ed Pinckney,86.6,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,,
Ryan Anderson,85.0,8.9,6.5,6.4,3.9,3.5,3.1,2.5,2.3,,,,,,
Bryon Russell,84.0,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0,
Matt Harpring,83.8,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,,,
Chris Andersen,83.8,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.0
Bo Outlaw,83.7,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2
Joe Caldwell,83.6,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,,
Stacey Augmon,83.4,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7
