Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jarrett Jack,,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Greg Anthony,94.6,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1
Chris Ford,90.6,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,
Derek Fisher,90.5,5.8,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Sherman Douglas,90.3,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,-0.1
Ricky Sobers,90.2,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1
Johnny Davis,89.2,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,
John Paxson,89.2,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6
Jason Williams,89.0,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9
Raymond Felton,88.2,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2
John Long,88.2,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.2,0.2
