Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,BOS,NBA,SG,7,3,12.9,1.1,2.6,.444,0.0,0.0,,1.1,2.6,.444,.444,0.4,1.0,.429,0.6,1.1,1.7,0.3,0.4,0.3,0.7,2.4,2.7
2007-08,26,BOS,NBA,SG,15,0,4.3,0.6,1.1,.563,0.0,0.1,.000,0.6,1.0,.600,.563,0.1,0.3,.400,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.3,1.3
2008-09,27,BOS,NBA,SG,10,0,6.0,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.1,0.1,1.000,0.1,0.8,0.9,0.3,0.2,0.0,0.1,0.4,0.9
2009-10,28,BOS,NBA,SG,24,0,16.3,2.0,4.1,.480,0.0,0.2,.000,2.0,3.9,.505,.480,1.2,1.5,.778,0.5,1.2,1.7,0.7,1.0,0.6,1.0,2.4,5.1
2010-11,29,MEM,NBA,SG,13,13,26.9,3.3,7.8,.426,0.1,0.5,.143,3.2,7.2,.447,.431,2.1,3.2,.659,1.2,1.8,2.9,1.5,1.9,0.4,1.8,3.3,8.8
2011-12,30,MEM,NBA,SG,7,7,24.3,2.6,6.4,.400,0.0,0.7,.000,2.6,5.7,.450,.400,1.7,2.4,.706,1.1,2.0,3.1,0.7,1.3,1.0,1.4,3.0,6.9
2012-13,31,MEM,NBA,SG,15,15,28.1,3.6,8.3,.432,0.1,0.5,.250,3.5,7.8,.444,.440,2.9,3.9,.759,2.5,3.6,6.1,1.8,2.0,0.3,1.3,3.2,10.3
2013-14,32,MEM,NBA,SG,7,1,32.9,5.0,10.3,.486,0.0,1.0,.000,5.0,9.3,.538,.486,2.3,3.0,.762,3.3,4.4,7.7,1.4,1.7,0.1,1.7,3.3,12.3
2014-15,33,MEM,NBA,SG,10,9,27.9,2.8,5.7,.491,0.1,0.7,.143,2.7,5.0,.540,.500,0.9,1.2,.750,1.4,3.8,5.2,1.5,2.4,1.1,1.3,2.7,6.6
2015-16,34,MEM,NBA,SG,4,2,23.5,2.5,8.3,.303,0.3,1.8,.143,2.3,6.5,.346,.318,2.3,3.3,.692,1.5,1.3,2.8,0.8,1.3,0.5,1.5,2.8,7.5
