Steals Per Game
2010-11 NBA 1.8 (5th)
2011-12 NBA 1.8 (5th)
2014-15 NBA 2.0 (3rd)
2016-17 NBA 1.8 (6th)
Career NBA 1.4 (93rd)
Career 1.4 (97th)
