Player,Sim,1,2,3,4,5,6,7,8,9
Brian Cook,,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Alex Hannum,87.7,5.1,2.1,1.7,1.6,0.5,0.4,,,
Jason Kapono,83.5,4.2,1.9,1.3,1.2,0.8,0.5,0.5,0.1,-0.2
Kyle Singler,83.3,4.4,2.3,2.0,1.1,,,,,
Gus Gerard,82.3,4.3,1.9,1.5,1.3,1.3,0.5,0.3,,
Anthony Bonner,81.0,4.1,2.4,1.8,1.6,0.7,0.0,,,
Carl Herrera,78.9,4.6,2.1,2.0,0.5,0.1,0.1,-0.2,-0.3,
Bostjan Nachbar,78.6,4.1,2.2,1.7,0.8,0.1,-0.1,,,
Darren Daye,78.5,3.8,2.4,1.3,1.2,0.6,,,,
Harold Pressley,76.7,4.8,2.3,2.2,0.7,,,,,
Darrell Arthur,76.5,3.8,2.3,1.7,1.7,0.9,0.7,0.3,,
