Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2007-08,18,WISCONSIN,32,,34,72,12,26,14,29,,40,12,4,3,20,,94,.472,.462,.483,,2.9,1.3,0.4
2008-09,19,WISCONSIN,33,,115,247,16,54,46,76,,126,28,17,20,44,,292,.466,.296,.605,,8.8,3.8,0.8
2009-10,20,WISCONSIN,24,691,142,272,18,46,67,93,35,139,39,13,32,24,50,369,.522,.391,.720,28.8,15.4,5.8,1.6
2010-11,21,WISCONSIN,34,1139,227,483,54,146,113,134,57,246,56,17,30,54,75,621,.470,.370,.843,33.5,18.3,7.2,1.6
