Player,Sim,1,2,3,4,5,6
Terrence Ross,,4.2,3.6,2.4,0.9,,
Collis Jones,90.4,4.2,3.2,2.1,1.2,,
Marv Roberts,89.5,4.3,3.4,2.4,1.2,0.4,-0.2
Don Collins,87.6,3.5,3.4,2.6,0.9,0.0,0.0
Bill Garnett,86.9,3.9,3.5,2.0,1.5,,
Michael Kidd-Gilchrist,85.9,3.8,3.1,2.1,0.6,,
Reggie Johnson,85.6,3.9,3.0,2.4,1.6,,
Kelly Olynyk,85.5,4.1,3.6,2.9,,,
Eddie Griffin,85.4,3.9,3.2,2.4,1.5,-0.2,
Dave Budd,84.9,4.1,3.2,2.3,1.2,0.9,
Leonard Gray,83.4,4.1,4.0,1.8,,,
