Player,Sim,1,2,3,4,5,6,7,8
Ryan Gomes,,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2
Trevor Booker,90.4,4.3,4.3,3.6,3.0,2.6,2.3,,
Kenny Walker,88.0,4.7,4.0,3.1,2.7,1.9,1.3,0.1,
Lamond Murray,88.0,4.9,4.1,3.3,2.3,2.1,1.2,0.3,-0.3
Austin Croshere,86.9,5.4,4.1,3.4,3.2,2.6,2.0,0.3,0.0
Jackie Moreland,86.2,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1
Gar Heard,84.1,5.0,4.5,4.5,2.4,2.1,1.7,0.1,-0.3
Jonas Jerebko,83.4,4.4,3.5,3.3,2.4,2.0,1.4,,
Gary Trent,83.4,5.5,4.0,3.3,3.1,3.0,1.7,0.4,0.1
James Jones,83.1,4.7,4.0,3.7,2.5,2.2,1.0,0.9,0.0
Shandon Anderson,82.8,4.9,4.2,3.9,2.7,2.0,1.7,1.2,0.4
