Player,Sim,1,2,3,4,5,6,7
Taj Gibson,,5.7,5.4,5.2,4.8,4.7,4.5,3.3
Larry Smith,94.9,6.1,5.4,5.2,4.7,4.3,4.0,3.1
Clarence Weatherspoon,91.7,6.0,5.8,5.0,4.5,4.0,3.6,3.3
Mark Olberding,90.4,6.6,5.1,5.1,4.3,4.2,3.9,3.1
Purvis Short,90.1,6.2,6.0,5.4,5.2,5.0,3.7,2.6
Morris Peterson,90.0,5.9,5.1,4.9,4.9,3.6,3.2,2.9
John Salley,88.6,6.2,6.1,5.1,4.8,3.8,3.5,2.5
Terry Tyler,88.2,6.4,5.8,5.5,5.4,4.5,3.4,2.5
Bill Bradley,88.0,7.0,5.4,5.4,4.9,4.7,4.2,1.1
Loy Vaught,87.1,6.3,6.3,5.5,5.5,4.2,4.1,2.2
Jared Dudley,86.9,5.6,5.3,5.1,4.8,2.9,2.7,2.4
