Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2014-15,22,MIA,NBA,SG,32,603,15%,77%,8%,,,-3.9,-1.5,10,13,7,20,0,5,1,98,14,1,11
2015-16,23,MIA,NBA,SG,36,863,52%,48%,,,,+0.7,-1.6,24,14,9,40,1,4,1,182,27,12,20
2016-17,24,MIA,NBA,PG,42,1291,54%,46%,,,,-3.3,-2.5,5,31,6,53,2,2,3,311,51,7,32
