Season,Team,Lg,Salary
2010-11,Utah Jazz,NBA,"$2,356,320"
2011-12,Utah Jazz,NBA,"$2,532,960"
2012-13,Utah Jazz,NBA,"$2,709,720"
2013-14,Utah Jazz,NBA,"$3,452,183"
2014-15,Utah Jazz,NBA,"$14,746,000"
2015-16,Utah Jazz,NBA,"$15,409,570"
