Player,Sim,1,2,3,4,5,6,7,8,9,10
Gordon Hayward,,8.9,8.7,5.4,4.9,3.6,1.2,,,,
Fred Schaus,87.8,8.5,8.4,6.8,4.0,3.7,,,,,
Derrick Favors,84.8,8.3,7.1,5.1,4.4,3.0,2.9,,,,
Trooper Washington,83.7,8.3,6.9,6.3,6.0,3.4,2.2,,,,
Chandler Parsons,83.6,7.6,7.0,5.5,4.3,3.4,,,,,
Chris Mills,83.6,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1
Goose Ligon,81.9,9.9,9.7,6.5,6.3,2.4,1.0,0.3,,,
Josh Howard,81.5,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2
John Beasley,81.5,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,,
Kenneth Faried,80.8,7.8,6.5,5.6,5.5,4.6,,,,,
Gene Banks,80.5,7.9,6.2,5.6,4.3,3.6,3.5,,,,
