Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2000-01,20,TEXAS,34,,90,186,0,0,58,127,,221,13,0,0,,,238,.484,,.457,,7.0,6.5,0.4
2001-02,21,TEXAS,34,,128,235,0,0,107,169,,302,14,0,0,,,363,.545,,.633,,10.7,8.9,0.4
2002-03,22,TEXAS,33,806,125,243,0,0,117,178,,363,15,18,24,,,367,.514,,.657,24.4,11.1,11.0,0.5
2003-04,23,TEXAS,33,516,62,134,0,0,57,88,,191,11,16,24,,,181,.463,,.648,15.6,5.5,5.8,0.3
