Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,115,64,3876,8.5,19.2,.443,3.0,7.6,.388,5.6,11.6,.478,3.5,4.3,.828,0.6,3.4,4.0,5.0,1.5,0.3,2.5,3.6,23.5,,112,112
8 seasons,,DAL,NBA,,87,46,3076,9.3,20.8,.448,2.9,7.4,.394,6.4,13.4,.478,4.1,5.0,.827,0.7,3.4,4.1,5.3,1.5,0.3,2.8,3.5,25.6,,113,113
2 seasons,,HOU,NBA,,22,17,611,5.5,13.4,.407,2.7,7.9,.347,2.7,5.5,.493,1.2,1.5,.842,0.5,3.3,3.8,4.2,1.3,0.2,1.8,4.6,14.9,,107,113
1 season,,BOS,NBA,,6,1,189,7.0,15.7,.444,4.4,9.9,.441,2.6,5.8,.450,2.6,3.2,.818,0.0,3.8,3.8,3.5,1.2,0.6,1.5,2.6,21.0,,114,102
