Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Jason Terry,,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,1.9,1.5,0.2
Andre Miller,92.9,10.3,8.8,8.8,8.3,8.0,7.0,7.0,7.0,6.2,5.9,5.4,5.3,4.6,2.9,2.2,2.2,1.0
Lenny Wilkens,92.8,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,2.7,0.4,,
Hal Greer,91.6,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,,
Maurice Cheeks,91.2,10.6,9.4,9.0,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3,,
Tony Parker,90.2,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7.0,5.9,5.8,4.1,3.8,3.6,,
Joe Dumars,89.6,9.9,9.1,8.8,8.7,8.2,7.0,6.0,5.9,5.9,4.4,4.2,3.2,3.2,1.7,,,
Eddie Jones,88.7,10.5,10.1,10.1,9.6,9.1,8.0,7.9,7.2,6.8,6.0,6.0,5.0,3.1,1.1,,,
Hersey Hawkins,88.3,10.9,9.8,9.5,8.7,8.6,8.5,8.0,7.8,6.5,4.0,3.5,2.6,2.3,,,,
Derek Harper,87.9,9.9,9.4,9.1,8.0,7.6,6.4,6.3,6.2,5.4,4.0,3.5,2.7,2.7,2.3,2.0,1.3,
Rod Strickland,87.1,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2,1.7,1.3,-0.2
