3-Pt Field Goal Attempts
2001-02 NBA 444 (5th)
2002-03 NBA 431 (5th)
2003-04 NBA 421 (10th)
2008-09 NBA 456 (4th)
2011-12 NBA 365 (3rd)
Active 5819 (1st)
Career NBA 5819 (3rd)
Career 5819 (3rd)
