3-Pt Field Goals
2001-02 NBA 172 (5th)
2002-03 NBA 160 (7th)
2005-06 NBA 171 (10th)
2006-07 NBA 162 (9th)
2008-09 NBA 167 (8th)
2011-12 NBA 138 (2nd)
Active 2206 (1st)
Career NBA 2206 (3rd)
Career 2206 (3rd)
