Player,Sim,1,2,3,4,5,6,7
Derrick Rose,,13.1,6.0,6.0,4.9,1.2,0.4,-0.2
Mike Riordan,80.5,11.1,7.0,6.1,3.8,2.1,1.7,-0.1
Brent Barry,80.2,12.1,7.5,5.8,4.9,2.7,2.1,1.6
Goran Dragic,80.2,10.3,6.8,5.7,5.1,2.8,1.0,0.1
Brandon Roy,80.2,13.5,9.1,8.0,4.8,2.1,0.0,
Kyrie Irving,77.0,10.4,6.7,5.3,5.0,4.1,,
Kemba Walker,74.3,9.9,5.1,4.8,4.5,0.3,,
Dana Barros,74.2,12.7,5.6,4.7,3.6,3.5,2.5,1.8
Micheal Williams,74.1,9.0,7.6,5.7,5.6,0.7,0.0,-0.2
Gail Goodrich,74.0,12.3,6.7,6.4,6.3,4.4,3.6,0.7
Jimmy Butler,73.7,11.2,9.1,7.1,7.0,1.1,,
