Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Zach Randolph,,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5
Paul Silas,91.1,11.5,11.0,7.7,7.2,7.2,6.9,6.7,3.9,3.3,3.3,3.1,2.5,1.8,1.2,0.5
Lamar Odom,90.1,10.1,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.7,2.2,0.7,0.3,
Don Nelson,89.4,8.8,8.7,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.6,2.3,2.1,0.4,
Hot Rod Williams,89.2,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,,
Tom Chambers,88.9,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,-0.4
Andrei Kirilenko,88.8,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3,0.0,,
Bernard King,88.7,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0,
Luol Deng,88.7,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3.0,3.0,,,
Richard Jefferson,88.6,11.7,11.0,9.9,7.6,6.6,6.0,5.9,4.7,3.4,3.1,2.7,2.7,2.4,2.3,1.0
Carlos Boozer,88.6,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2,,
